id_channel;id_video;ymd_hms_video;tweet
UCCaChdLMTYMxyawR_Qf-kYA;Ra3qv4bkYoo;2021-06-19T18:59:29Z;"New #rstats video: R for Data Science Book Club: Chapter 19: Functions (2021-06-15) (r4ds03)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=Ra3qv4bkYoo"
UCCaChdLMTYMxyawR_Qf-kYA;M4cOIFbBNfQ;2021-06-19T18:56:35Z;"New #rstats video: Mastering Shiny Book Club: Chapter 16: Escaping the graph (2021-06-15) (mshiny01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=M4cOIFbBNfQ"
UCCaChdLMTYMxyawR_Qf-kYA;lg9G1R2H-f0;2021-06-20T22:04:09Z;"New #rstats video: R Packages Book Club: How do I include things like data, etc? (2021-05-22) (rpkgs02)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=lg9G1R2H-f0"
UCCaChdLMTYMxyawR_Qf-kYA;PvL6GZOJ4OY;2021-06-20T20:49:46Z;"New #rstats video: Regression and Other Stories Book Club: Chapter 3: Basic Methods in Math & Prob (2021-06-01) (ros01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=PvL6GZOJ4OY"
UCCaChdLMTYMxyawR_Qf-kYA;8hdHckbQ5X8;2021-06-20T20:49:36Z;"New #rstats video: Regression and Other Stories Book Club: Chapter 4: Statistical inference (2021-06-15) (ros01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=8hdHckbQ5X8"
UCCaChdLMTYMxyawR_Qf-kYA;2sgUrbUoGW0;2021-06-20T20:23:04Z;"New #rstats video: Regression and Other Stories Book Club: Chapter 2: Data and Measurement (2021-05-25) (ros01)
By R4DS Online Learning Community
https://www.youtube.com/watch?v=2sgUrbUoGW0"
UCBV194XNr6CIQCCuw1v2rMQ;DiY8EqZDwoI;2021-06-22T17:50:42Z;"New #rstats video: Dplyr Advanced Guide: data cleaning, reshaping, and merging with lubridate, stringr, tidyr, ggplot2
By dataslice
https://www.youtube.com/watch?v=DiY8EqZDwoI"
UCeiiqmVK07qhY-wvg3IZiZQ;IkTfKnUoYf0;2021-06-22T02:14:47Z;"New #rstats video: ML Monday live screencast: Predicting box office performance with R
By David Robinson
https://www.youtube.com/watch?v=IkTfKnUoYf0"
UCTTBgWyJl2HrrhQOOc710kA;7qIg-40rNbo;2021-06-21T16:58:33Z;"New #rstats video: Class imbalance and classification metrics with aircraft wildlife strikes
By Julia Silge
https://www.youtube.com/watch?v=7qIg-40rNbo"
UCGuktEl5InrcxPfCjmPWxsA;Xg7Els_N8_c;2021-06-21T16:00:14Z;"New #rstats video: A history of lynching in the United States (1877-1950) that provides the names of Black victims
By Riffomonas Project
https://www.youtube.com/watch?v=Xg7Els_N8_c"
