id_channel;name_channel;id_twitter
UCCdsYJg0CQXvmM1m9DHkAtQ;Tymon Jasiukiewicz;
UCJPwNOsvugkB2ImVCiaLytA;Tony Carlsen;
UCyf1AvRK4gmfRUJjeBNMauA;Tunis R User Group;TunisRUserGroup
UC6mKz34g2V8Ee6VAQbiYx3Q;Tyler Morgan-Wall;tylermorganwall
UCQ2fY9JECnDzjK4JdFdhpCg;UCLA Library Data Science Center;
UCmU-94bz7OxehQnkQ1VlUMg;Udemy Free Course;
UCv_a9ZGZOH588wUZHZl6T_g;useR! Conference;_useRconf
UC4JoQFwsdvtEYJcPRqXyv1Q;useRchile;
UCZQlpKYQPlf2QNVdSv_TRdg;UseR Oslo;OURmeetup
UC_sejq_JJ49KiiK4qh5r-wg;Universe of Data Science;unidatascience
UCPzO5TjnYnBzfUVj6fI3pdw;Vivian Codes;
UCcGXGFClRdnrwXsPHi7P4ZA;Yury Zablotski;yuzaR___
UCDHzgi5BGU5F-LXxQIIOyDw;yutannihilationのチャンネル (仮);yutannihilation
UCF9ymC7Dpjwr0lge2QR_A5Q;webin-R;
UCwLy_PYrnCEhCU-Ay2F5Drw;Why R? Foundation;whyRconf
UCr8qT7gK9WQZjCNz7Agi7sA;Why R? Turkey;WhyRTurkey
UCW-epmIvjBEhhVXw_F0Nqbw;한국 R 사용자회;
